,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5
0,1,Liverpool,35,25,7,3,81,35,46,82,2.34,75.4,32.0,43.4,1.24,L W W W L
1,2,Arsenal,35,18,13,4,64,31,33,67,1.91,54.4,29.9,24.5,0.7,D D W D L
2,3,Manchester City,36,19,8,9,67,43,24,65,1.81,63.6,45.3,18.3,0.51,W W W W D
3,4,Newcastle Utd,35,19,6,10,66,45,21,63,1.8,59.5,43.1,16.4,0.47,W W L W D
4,5,Chelsea,35,18,9,8,62,41,21,63,1.8,65.2,44.3,21.0,0.6,D D W W W
5,6,Aston Villa,36,18,9,9,56,49,7,63,1.75,54.3,46.7,7.6,0.21,W W L W W
6,7,Nott'ham Forest,35,18,7,10,54,42,12,61,1.74,41.1,45.7,-4.6,-0.13,L L W L D
7,8,Brentford,36,16,7,13,63,53,10,55,1.53,55.0,53.4,1.6,0.05,D W W W W
8,9,Brighton,36,14,13,9,59,56,3,55,1.53,54.3,50.3,4.0,0.11,D L W D W
9,10,Bournemouth,36,14,11,11,55,43,12,53,1.47,61.3,46.7,14.6,0.41,W D D W L
10,11,Fulham,36,14,9,13,51,50,1,51,1.42,46.8,41.7,5.1,0.14,L L W L L
11,12,Crystal Palace,35,11,13,11,44,48,-4,46,1.31,53.6,44.9,8.8,0.25,L L D D D
12,13,Everton,36,9,15,12,39,44,-5,42,1.17,37.9,43.9,-5.9,-0.16,W L L D W
13,14,Wolves,36,12,5,19,51,64,-13,41,1.14,41.3,55.0,-13.8,-0.38,W W W L L
14,15,Manchester Utd,35,10,9,16,42,51,-9,39,1.11,47.2,50.9,-3.7,-0.11,D L L D L
15,16,Tottenham,35,11,5,19,63,57,6,38,1.09,55.6,56.4,-0.8,-0.02,W L L L D
16,17,West Ham,35,9,10,16,40,59,-19,37,1.06,43.1,54.9,-11.8,-0.34,D L D L D
17,18,Ipswich Town,36,4,10,22,35,77,-42,22,0.61,32.2,70.8,-38.6,-1.07,D L L D L
18,19,Leicester City,35,5,6,24,29,76,-47,21,0.6,30.5,67.6,-37.1,-1.06,L D L L W
19,20,Southampton,36,2,6,28,25,82,-57,12,0.33,30.8,79.8,-49.0,-1.36,L D L L D
